"id","pergunta","resposta","createdAt","updatedAt"
"458","Qual é a melhor maneira de machucar alguém com palavras?","Batendo nela com um dicionário.","2017-09-02","2017-09-02"
"459","O que é que tem mais de mil caras, mas só pode lhe mostrar uma?","Espelho.","2017-09-02","2017-09-02"
"460","O que é o que é, nasce no monte, morre no mar e jamais volta para o seu lugar?","Rio.","2017-09-02","2017-09-02"
"461","Qual é a galinha que cai e fica doida?","Galinha cai-pira.","2017-09-02","2017-09-02"
"462","O que é o que é nenhum homem tem na carteira?","Foto da sogra.","2017-09-02","2017-09-02"
"463","O que o pintinho gay disse quando nasceu?","Choquei!","2017-09-02","2017-09-02"
"464","O que é que nasce no campo, cria em verdes laços, chora por ela quem faz ela em pedaços?","Cebola.","2017-09-02","2017-09-02"
"465","Por que a vaca não vai na academia?","Porque ela já é malhada.","2017-09-02","2017-09-02"
"466","Qual o instrumento musical mais odiado pelos anões?","Contrabaixo.","2017-09-02","2017-09-02"
"467","Onde D. Pedro II foi coroado?","Na cabeça.","2017-09-02","2017-09-02"
"468","O que dorme de cabeça para baixo?","A vassoura.","2017-09-02","2017-09-02"
"469","O que acabou em 1896?","1895.","2017-09-02","2017-09-02"
"470","O que você só dá para quem tem?","Razão.","2017-09-02","2017-09-02"
"471","Onde o boi foi comprar perfume?","Na O Boi-ticário.","2017-09-02","2017-09-02"
"472","Entre dois carecas, qual é o mais careca?","O que tiver a maior cabeça.","2017-09-02","2017-09-02"
"473","Se um trem elétrico for de Catanduva até São Paulo, a fumaça vai para frente ou para trás?","Trem elétrico não solta fumaça.","2017-09-02","2017-09-02"
"474","Quantos animais Moisés levou na arca?","Nenhum, porque foi Noé que fez a arca.","2017-09-02","2017-09-02"
"475","O boi saiu para beber. Onde ele foi?","No boitéco.","2017-09-02","2017-09-02"
"476","O que a panela falou para a pipoca?","A minha bunda que queima e você que pula?","2017-09-02","2017-09-02"
"477","Como se chama o estado em que a água se evapora rápido?","São Paulo.","2017-09-02","2017-09-02"
"478","Por que o time de basquete chamou o sapo para jogar?","Porque ele acerta na mosca.","2017-09-02","2017-09-02"
"479","Qual é o tempero mais raivoso?","O sal grosso.","2017-09-02","2017-09-02"
"480","Qual é o pássaro que assombra?","Uru-buuuuuuu!","2017-09-02","2017-09-02"
"481","Qual é o mês do semáforo?","Abril.","2017-09-02","2017-09-02"
"482","Quando é que o cachorro fica desconfiado?","Quando ele está com a pulga atrás da orelha.","2017-09-02","2017-09-02"
"483","Por que devemos enterrar a sogra 10 metros para baixo do normal?","Porque no fundo, no fundo... a sogra é uma pessoa boa.","2017-09-02","2017-09-02"
"484","Por que o peixe nunca acerta o gol?","Porque ele tem medo da rede.","2017-09-02","2017-09-02"
"485","O que cortamos na cozinha e choramos?","O dedo.","2017-09-02","2017-09-02"
"486","O que é um pontinho preto no canto da sala?","Uma formiga de castigo.","2017-09-02","2017-09-02"
"487","Um menino estava dormindo e a campainha tocou, eram seus pais que queriam tomar café. Ele pegou na geladeira a manteiga e a geleia. O que ele tem que abrir primeiro?","Os olhos.","2017-09-02","2017-09-02"
"488","Qual é a árvore que ajuda as outras?","O mamoeiro, porque ele sempre dá uma-mão.","2017-09-02","2017-09-02"
"489","Por que o marujo não grita mais ""terra à vista""?","Porque do jeito que a economia está, tem que ser a prazo mesmo.","2017-09-02","2017-09-02"
"490","O que é que quando novo é duro, quando esfregam diminui?","Sabonete.","2017-09-02","2017-09-02"
"491","Qual é a roupa que o homem pensa quando vê a sogra em cima do muro?","Tomara que caia.","2017-09-02","2017-09-02"
"492","Qual é a maior ave que voa?","Ave-ão.","2017-09-02","2017-09-02"
"493","Qual é o chá que refresca a cabeça?","O chá-péu.","2017-09-02","2017-09-02"
"494","De que lado fica a alça da xícara?","Do lado de fora.","2017-09-02","2017-09-02"
"495","Qual é a melhor coisa que você pode colocar no pastel?","Os dentes.","2017-09-02","2017-09-02"
"496","Os patos disputaram uma partida de futebol. Como acabou o jogo?","Empatado.","2017-09-02","2017-09-02"
"497","Qual é a cantora que cuida mal de seus cachorros?","A Má-dona.","2017-09-02","2017-09-02"
"498","Por que o filho do bombeiro não pode ir para a aula de educação física?","Porque iam brincar de queimada.","2017-09-02","2017-09-02"
"499","Qual é o jogo que as árvores odeiam?","Queimada.","2017-09-02","2017-09-02"
"500","Por que o pirata só assistiu a metade do filme?","Porque estava com o tapa-olho.","2017-09-02","2017-09-02"
"501","Por que a macarrão foi convidado para a festa e a batata não?","Porque o macarrão é massa e a batata é palha.","2017-09-02","2017-09-02"
"502","O que faz um homem virar a cabeça?","O pescoço.","2017-09-02","2017-09-02"
"503","Qual era a comida predileta dos faraós?","Faraófa.","2017-09-02","2017-09-02"
"504","O que acontece com o leite da vaca depois de um terremoto?","Vira milk-shake.","2017-09-02","2017-09-02"
"505","O que é necessário para fechar uma porta?","Que ela esteja aberta.","2017-09-02","2017-09-02"
"506","O pai de Pedro tinha 5 filhos: Pata, Peta, Pita e Pota. Qual o nome do outro filho?","Pedro.","2017-09-02","2017-09-02"
"507","Como se fala ""cobrador de ônibus"" em japonês?","Tanaka Traka.","2017-09-02","2017-09-02"
"508","Qual é o nome do animal mais patriota do mundo?","Tamanduá-bandeira.","2017-09-02","2017-09-02"
"509","Qual o instrumento musical que está sempre ligado?","AcordeON.","2017-09-02","2017-09-02"
"510","O que a areia falou para o mar?","Deixa de onda!","2017-09-02","2017-09-02"
"511","Qual é o santo que protege os gordinhos?","O São Duíche.","2017-09-02","2017-09-02"
"512","O que tem bico mas não bica, tem asa mas não voa e tem perna mas não anda?","Uma ave morta.","2017-09-02","2017-09-02"
"513","Um garoto chama o outro e lhe dá uma nota de vinte reais. Qual o nome do menino?","Leonardo Dávinte.","2017-09-02","2017-09-02"
"514","Qual é a religião dos bodes?","Bodismo.","2017-09-02","2017-09-02"
"515","Por que o gato é bom no videogame?","Porque ele tem 7 vidas.","2017-09-02","2017-09-02"
"516","O que é o que é, tem o pai cantor, a mãe desdentada e o filho amarelo?","Galinha.","2017-09-02","2017-09-02"
"517","Quais são as partículas que não gostam de estudar?","As partículas de antimatéria.","2017-09-02","2017-09-02"
"518","O que é um pontinho azul no canil?","Um Pit Blue.","2017-09-02","2017-09-02"
"519","Quem nasceu da minha mãe, mas não sou eu nem meu irmão?","Minha irmã.","2017-09-02","2017-09-02"
"520","Qual o animal que vive ajudando os outros?","O macaco, porque ele quebra galho.","2017-09-02","2017-09-02"
"521","O que o lápis disse para o papel?","Você está me desapontando.","2017-09-02","2017-09-02"
"522","Qual é o cachorro que não late?","O cachorro quente.","2017-09-02","2017-09-02"
"523","Qual é o mês que está pronto para nadar?","Maiô.","2017-09-02","2017-09-02"
"524","Por que a galinha bate a cabeça no chão?","Porque ela quer arrumar um galo.","2017-09-02","2017-09-02"
"525","Qual a cor do cavalo branco de Napoleão?","Preto, Branco é apenas o nome do cavalo.","2017-09-02","2017-09-02"
"526","Qual o nome dos animais que comem de tudo?","Ricos.","2017-09-02","2017-09-02"
"527","Qual é o animal cuja espécie, o macho tem duas fêmeas?","O pato, porque ele tem duas patas.","2017-09-02","2017-09-02"
"528","Qual o nome do chinês que sofreu um corte no dedo?","Xai Xangue.","2017-09-02","2017-09-02"
"529","Qual é o sabão em pó preferido das sereias?","Ariel.","2017-09-02","2017-09-02"
"530","O que há no inicio do mês, no meio da semana, mas nunca no dia?","A letra m.","2017-09-02","2017-09-02"
"531","Qual a semelhança entre a banda de rock, o celular, o carro, e a escola de samba?","Bateria.","2017-09-02","2017-09-02"
"532","O que o sabão em pó falou para o desinfetante?","Eu te omo.","2017-09-02","2017-09-02"
"533","O que anda mas não tem pé, assobia mas não tem boca?","Vento.","2017-09-02","2017-09-02"
"534","Por que o cachorro balança o rabo?","Porque o rabo não consegue balançar o cachorro.","2017-09-02","2017-09-02"
"535","O que é que tem 4 pés e 4 asas?","Duas galinhas.","2017-09-02","2017-09-02"
"536","Um assassino tinha um cachorro, mas certo dia seu cachorro morreu. Qual o nome do filme?","Mato Sem Cachorro.","2017-09-02","2017-09-02"
"537","Quantos anões cantavam na história da Branca de Neve?","Seis, porque o Dunga era mudo.","2017-09-02","2017-09-02"
"538","O que tem corrente mas não é bicicleta, tem rosca mas não é parafuso?","Lâmpada.","2017-09-02","2017-09-02"
"539","O que a TV disse para a tomada?","Tô ligada em você.","2017-09-02","2017-09-02"
"540","Em um arquipélago tem 3 ilhas, cada ilha tem 3 palmares, se três palmeiras dão três cocos, qual o número total de cocos?","Zero, pois palmeiras não dão cocos.","2017-09-02","2017-09-02"
"541","O que é bem redondinha, tem a beira pregueada, por fora fica sequinha, por dentro fica molhada?","Tampinha de garrafa.","2017-09-02","2017-09-02"
"542","O que o Luan tem na frente, o Michel tem atrás, a solteira ainda tem e a casada não tem mais?","A letra L.","2017-09-02","2017-09-02"
"543","O que é o que é, tenho uma grande memória, porém eu não sei pensar, alguns me usam para lazer e outros para estudar?","Computador.","2017-09-02","2017-09-02"
"544","O que uma galáxia disse para a outra?","Preciso de espaço.","2017-09-02","2017-09-02"
"545","Um homem é tarado por animais domésticos. Qual o nome do filme?","Como Cães e Gatos.","2017-09-02","2017-09-02"
"546","Qual animal é um refrigerante?","Kuati.","2017-09-02","2017-09-02"
"547","Quantas pessoas são necessárias para destruir o Brasil?","Di uma.","2017-09-02","2017-09-02"
"548","Um homem acidentalmente sentou em cima de um cachorro branco com pintas pretas. Qual é o nome do filme?","Sento Em Um Dálmata.","2017-09-02","2017-09-02"
"549","Quais as duas bolas que todo mundo tem?","A bola dos olhos.","2017-09-02","2017-09-02"
"550","O que o peixe disse para a peixa?","Estou apeixonado!","2017-09-02","2017-09-02"
"551","O que o psicólogo disse ao Super Mario ?","Relaxa, é so uma fase.","2017-09-02","2017-09-02"
"552","O que você tem e eu não tenho?","Acento.","2017-09-02","2017-09-02"
"553","O que é que o primeiro já morreu, o segundo ainda vive e o terceiro nem nasceu?","O passado, presente e futuro.","2017-09-02","2017-09-02"
"554","O que vive batendo na gente mas é bom para a saúde?","O coração.","2017-09-02","2017-09-02"
"555","O que nasce preto, cresce branco e no final vira cinza?","Michael Jackson.","2017-09-02","2017-09-02"
"556","O que a múmia disse para a outra múmia que estava cheia de problemas?","Você está toda enrolada!","2017-09-02","2017-09-02"
"557","Qual é o país que tem duas sílabas e uma delas é de comer?","Japão.","2017-09-02","2017-09-02"
"558","O que a cocaína disse pra Ivete Sangalo?","Como se eu fosse flor, você me cheira!","2017-09-02","2017-09-02"
"559","O que começa com B, termina com A, e todo homem gosta?","A beleza.","2017-09-02","2017-09-02"
"560","O que é minha, eu te dou, e ainda continua sendo minha?","Minha fotografia.","2017-09-02","2017-09-02"
"561","O que o cigarro falou pro homem?","Hoje você me acende, amanhã eu te apago.","2017-09-02","2017-09-02"
"562","O que o galo foi fazer no açougue?","Ver a galinha pelada.","2017-09-02","2017-09-02"
"563","Qual é o animal mais chique do mundo?","O porco, porque ele vive em um chiqueiro.","2017-09-02","2017-09-02"
"564","O que a zebra macho disse pra zebra fêmea quando descobriu que ela estava grávida?","Eita, deu zebra!","2017-09-02","2017-09-02"
"565","O que o pneu disse para o asfalto?","Você vai acabar me deixando careca.","2017-09-02","2017-09-02"
"566","O que o carrapato tem maior que o boi?","O nome.","2017-09-02","2017-09-02"
"567","Qual é a coisa mais rápida do mundo?","A caganeira, pois não dá tempo nem de descer as calças.","2017-09-02","2017-09-02"
"568","Qual o peixe que sempre tem uma arma?","Peixe-espada.","2017-09-02","2017-09-02"
"569","Onde o domingo vem antes do sábado?","No dicionário.","2017-09-02","2017-09-02"
"570","O que é o que é, são quatro irmãos que correm, correm, correm, mas não conseguem alcançar um ao outro?","Os pneus.","2017-09-02","2017-09-02"
"571","Por que os fofoqueiros gostam de axé?","Porque eles adoram um Babado Novo.","2017-09-02","2017-09-02"
"572","O que tem no carro e na música?","Ré.","2017-09-02","2017-09-02"
"573","Um fanho e gago foi dar uma palestra. Qual o nome do filme?","Missão Impossível.","2017-09-02","2017-09-02"
"574","Qual o brinquedo favorito do Batman no parque de diversões?","O carrinho de bat-bat.","2017-09-02","2017-09-02"
"575","Minha vizinha tinha uma cachorra chamada Dinha. A cachorra morreu atropelada. O que minha vizinha fez ao vê-la?","Chorava pela Dinha.","2017-09-02","2017-09-02"
"576","Gretchen foi aprender a lutar com o Anderson Silva. Qual o nome do filme?","Como Treinar o Seu Dragão.","2017-09-02","2017-09-02"
"577","O que é um pontinho preto no jornal?","Uma formiga procurando emprego.","2017-09-02","2017-09-02"
"578","O que o ""c"" disse para o ""ç""?","Cagando aí, né?","2017-09-02","2017-09-02"
"579","O que passa todo dia na sua frente mas você não vê?","O vento.","2017-09-02","2017-09-02"
"580","O que é que ele morre queimado e ela morre cantando?","O cigarro e a cigarra.","2017-09-02","2017-09-02"
"581","O que é o que é, duro, cabeludo e entra por um buraco?","Escova de dente.","2017-09-02","2017-09-02"
"582","Foram pescar 2 pais e 2 filhos, cada um pegou 1 peixe, e no total deu 3 peixes. Como isso é possível?","Foram pescar o avô, o pai e o filho.","2017-09-02","2017-09-02"
"583","O que é o que é que tem 172 pernas mas só anda se empurrar?","A vassoura.","2017-09-02","2017-09-02"
"584","Qual o dia que a plantinha não entra no hospital?","No dia do plantão.","2017-09-02","2017-09-02"
"585","O que é o que é, tem 4 pernas, 4 bocas e cospe fogo?","O fogão.","2017-09-02","2017-09-02"
"586","O que acontece quando uma pedra amarela cai em um rio vermelho?","Ela afunda.","2017-09-02","2017-09-02"
"587","O que é que você ri pra ganhar e sofre para perder?","O peso.","2017-09-02","2017-09-02"
"588","O que todas as pessoas tiram quando vão pra cama?","Os pés do chão.","2017-09-02","2017-09-02"
"589","Por que o prego é bem educado?","Porque ele nunca entra sem bater.","2017-09-02","2017-09-02"
"590","Por que o pênis é o primeiro órgão do corpo a se aposentar?","Porque o trabalho dele é foda.","2017-09-02","2017-09-02"
"591","O que a frigideira disse para o ovo?","Eu vou te fritar, mas não gema.","2017-09-02","2017-09-02"
"592","Qual o bairro de São Paulo que é frequentado pelos tatus que não tem carro?","Tatuapé.","2017-09-02","2017-09-02"
"593","O que é o que é, você não vive sem, mas ela não esta nem aí para você?","A água.","2017-09-02","2017-09-02"
"594","O que é o que é, que está do lado do mundo?","O ponto de interrogação.","2017-09-02","2017-09-02"
"595","Qual é o desastre natural que os cães mais odeiam?","Fura-cão.","2017-09-02","2017-09-02"
"596","Em quanto tempo se prepara um Miojo?","2 gols da Alemanha.","2017-09-02","2017-09-02"
"597","Qual é a cor do S da Perdigão?","Perdigão não tem S.","2017-09-02","2017-09-02"
"598","Qual o casal de animais Noé não levou em sua arca?","Cupins.","2017-09-02","2017-09-02"
"599","Dois homens foram detidos suspeitos de terem cometido um crime, mas não se sabia qual deles era o culpado. Após alguns dias, um deles engordou bastante e foi liberado. Por quê?","Porque o que não mata, engorda.","2017-09-02","2017-09-02"
"600","O que acontece quando você esfrega uma lâmpada debaixo d'água?","Aparece um Hidrogênio.","2017-09-02","2017-09-02"
"601","Uma baleia atira em outra, qual o nome do filme?","Baleia baleia baleia.","2017-09-02","2017-09-02"
"602","O que é o que é, faz saltos enorme mas nunca participou de uma Olimpíada?","O sapateiro.","2017-09-02","2017-09-02"
"603","O que mais cheira na cozinha?","O nariz.","2017-09-02","2017-09-02"
"604","O que é o que é, dá leite mas não é vaca?","O leiteiro.","2017-09-02","2017-09-02"
"605","O que é o que é, cai em pé e corre deitado?","Um paraquedista na guerra.","2017-09-02","2017-09-02"
"606","O que um jogador de futebol faz quando acha que o goleiro é professor de português?","Gol de letra.","2017-09-02","2017-09-02"
"607","A mãe de Maria tinha 5 filhas: Ra, Re, Ri, Ro. Qual o nome da quinta filha?","Maria.","2017-09-02","2017-09-02"
"608","Por que o marido da viúva não pode se casar com a cunhada?","Porque ele morreu.","2017-09-02","2017-09-02"
"609","O que é que está acima do céu?","Acento agudo.","2017-09-02","2017-09-02"
"610","Qual é a festa que dizem que é sua mas nunca te convidam?","Fim de ano na Globo.","2017-09-02","2017-09-02"
"611","O que acontece com um pneu após passar por uma pista molhada e fria?","Pega pneumonia.","2017-09-02","2017-09-02"
"612","O que é o que é, que todos têm 2, você tem 1 e eu não tenho nenhum?","A letra O.","2017-09-02","2017-09-02"
"613","Um cachorro passou em um cinema e viu pedras, areia e tijolos. Qual é o nome do filme?","Nenhum, o cinema estava em obras.","2017-09-02","2017-09-02"
"614","Se você me tiver vai querer me dividir, se me dividir, deixarei de existir. O que sou?","Segredo.","2017-09-02","2017-09-02"
"615","O engenheiro olhou para espelho. O que aconteceu?","O engenheiro civil.","2017-09-02","2017-09-02"
"616","O que é que sempre está acima de nós?","O acento agudo.","2017-09-02","2017-09-02"
"617","O que é que sempre está vindo mas nunca chega?","O amanhã.","2017-09-02","2017-09-02"
"618","Quando é que um jogador de futebol trata o adversário como criança?","Quando dá um carrinho.","2017-09-02","2017-09-02"
"619","O que é que não se quebra com uma pedra, mas se quebra com um ovo?","Jejum.","2017-09-02","2017-09-02"
"620","Como é que o louco colhe manga?","Ele sobe no pé de manga, aperta a manga pra ver se ela está madura, desce e joga pedra até derrubar.","2017-09-02","2017-09-02"
"621","Qual o próximo número na sequência: 2, 10, 12, 16, 17, 18, 19, ...?","200. Todos os números começam com a letra D.","2017-09-02","2017-09-02"
"622","O que é que o açúcar disse para o café?","Neguinho, é por você que eu me derreto.","2017-09-02","2017-09-02"
"623","O que é o que é, tem rabo de porco, tem corpo de porco, tem orelha de porco, tem perna de porco, mas não é porco?","A porca.","2017-09-02","2017-09-02"
"624","O que é o que é, amarelo por fora branco por dentro cabelo na berada e o talo dentro?","Maracujá.","2017-09-02","2017-09-02"
"625","Por que a comida foi presa?","Porque matou a fome.","2017-09-02","2017-09-02"
"626","O que é que falta na casa para formar um casal?","A letra L.","2017-09-02","2017-09-02"
"627","O que é o que é, se compra para comer, mas não se come?","O prato.","2017-09-02","2017-09-02"
"628","Eu estava levando 10 vacas para o pasto, mas uma morreu. Quantas ficaram?","Só uma. A que morreu ficou por lá mesmo.","2017-09-02","2017-09-02"
"629","O que é o que é, cru não existe e assado não se come?","Carvão.","2017-09-02","2017-09-02"
"630","O que é o que é, o duro furou o mole, o mole ficou furado e o duro ficou pendurado?","Brinco.","2017-09-02","2017-09-02"
"631","O que é o que é, que sobe quando a água desce?","Guarda-chuva.","2017-09-02","2017-09-02"
"632","O que se pode tirar, mas nunca devolver?","Uma soneca.","2017-09-02","2017-09-02"
"633","Por que a professora entrou na sala de aula usando óculos de sol?","Porque os alunos eram brilhantes.","2017-09-02","2017-09-02"
"634","Qual raça de cachorro pode pular mais alto que um prédio?","Qualquer uma, pois prédios não pulam.","2017-09-02","2017-09-02"
"635","O que é que tem cabelo mas não pentea, tem dente mas não mastiga, e tem pé mas não anda?","O milho.","2017-09-02","2017-09-02"
"636","O que é o que é, no mar tem 1, na Terra tem 2, mas no mundo não tem nenhum?","A letra R.","2017-09-02","2017-09-02"
"637","O que é que a televisão foi fazer no dentista?","Tratamento de canal.","2017-09-02","2017-09-02"
"638","Como seria o mundo se não existisse o Google?","Sei lá, pesquisa aí no Google...","2017-09-02","2017-09-02"
"639","O que é o que é que faz chorar mas não é cebola e você mata mas não tem vida?","Saudade.","2017-09-02","2017-09-02"
"640","Tem 5 passarinhos na árvore, mas você atira em um. Quantos sobram?","Nenhum pois os outros 4 saem voando.","2017-09-02","2017-09-02"
"641","Qual o principal motivo dos erros?","As provas.","2017-09-02","2017-09-02"
"642","Qual a principal razão do divórcio?","O casamento.","2017-09-02","2017-09-02"
"643","Onde foi assinado o Tratado de Tordesilhas?","No final da folha.","2017-09-02","2017-09-02"
"644","Qual é o chiclete favorito de Poseidon?","Trident.","2017-09-02","2017-09-02"
"645","Em uma igreja haviam 5 velas. Entraram 3 ladrões e cada um levou uma. Quantas velas ficaram?","8 velas. Porque eles levaram, e não roubaram.","2017-09-02","2017-09-02"
"646","Para onde vão os homens-bomba depois da morte?","Para todos os lados.","2017-09-02","2017-09-02"
"647","Qual é o tipo de conexão dos gordos?","Banda larga.","2017-09-02","2017-09-02"
"648","Qual é a palavra que tem apenas 3 letras, mas acaba com tudo?","Fim.","2017-09-02","2017-09-02"
"649","O que é, o que é, que é preto... branco... preto... branco... preto...?","Um pinguim rolando.","2017-09-02","2017-09-02"
"650","Como é que se pesca peixe pela internet?","Com a rede.","2017-09-02","2017-09-02"
"651","O que é, o que é, que tem cara de macaco, rabo de macaco e não é macaco?","A macaca.","2017-09-02","2017-09-02"
"652","O que é, o que é, que corre mas não anda?","Água.","2017-09-02","2017-09-02"
"653","Eu estava escovando os dentes e a tampinha caiu no ralo. Adivinha o que saiu do chuveiro quando fui tomar banho?","Água.","2017-09-02","2017-09-02"
"654","Qual remédio que avisa quando você esta mal?","Paracetamol.","2017-09-02","2017-09-02"
"655","Uma pessoa me amar pela minha beleza e pelo meu dinheiro. Qual o nome do filme?","Missão Impossível.","2017-09-02","2017-09-02"
"656","O que é, o que é, sempre aumenta e nunca diminui?","A idade.","2017-09-02","2017-09-02"
"657","O que é, o que é, quando se tira o R, fica leve como uma pena?","A perna.","2017-09-02","2017-09-02"
"658","O que é, o que é, que voa mas não bate as asas?","O avião.","2017-09-02","2017-09-02"
"659","O que é, o que é, bem pertinho do céu em casa mora trancada, que chova ou faça sol ela vive sozinha e molhada?","A língua.","2017-09-02","2017-09-02"
"660","Quantos neoliberais é preciso para trocar uma lâmpada?","Nenhum. Se a lâmpada precisa ser trocada o mercado fará isto por si próprio.","2017-09-02","2017-09-02"
"661","Quantos estudantes de doutorado é preciso para trocar uma lâmpada?","Estou escrevendo minha tese neste assunto. Deverei ter uma resposta para esta  questão daqui a 5 anos.","2017-09-02","2017-09-02"
"662","Quando você sabe que uma professora de matemática virou funkeira?","Quando ela chama o polígono regular de oito lados de quadradinho de oito.","2017-09-02","2017-09-02"
"663","O que é que nos penetra com uma ponta desproporcionalmente grande, e quando vem no escurinho até arranca sangue?","A picada do mosquito.","2017-09-02","2017-09-02"
"664","O que é que geralmente tem um tom avermelhado, os homens gosta de socar com força, mas não grita de dor?","O saco de boxe.","2017-09-02","2017-09-02"
"665","Qual é o nome do filme preferido do Inri Cristo?","Ó Paí, Ó.","2017-09-02","2017-09-02"
"666","Dois frangos estavam voando, mas um deles caiu. Por que o outro continuou voando?","Porque ele era um frango à passarinho.","2017-09-02","2017-09-02"
"667","O que é o que é? A gente coloca na boca todo dia, mata a fome, mas a gente não come?","Garfo.","2017-09-02","2017-09-02"
"668","O que é que é jogado pra cima prata e quando cai no chão vira ouro?","Ovo.","2017-09-02","2017-09-02"
"669","O que o papel higiênico disse para o hambúrguer?","Na saída a gente se encontra.","2017-09-02","2017-09-02"
"670","O que é, o que é? Quem está dentro nunca sai, quem está fora não quer entrar?","Cemitério.","2017-09-02","2017-09-02"
"671","Por que o cachorro entrou na igreja?","Porque ele era um Pastor Alemão.","2017-09-02","2017-09-02"
"672","O que é que tem o corpo comprido e a cabeça grande?","O palito de fósforo.","2017-09-02","2017-09-02"
"673","Um chinês se alimentava de gatos e cachorros. Qual o nome do filme?","Como Cães e Gatos.","2017-09-02","2017-09-02"
"674","Por que o gato levanta o rabo?","Porque o rabo não consegue levantar o gato.","2017-09-02","2017-09-02"
"675","Eu estou sempre debaixo dos seus pés, posso ser visto ao sol do meio dia, você nunca pode fugir de mim. O que sou eu?","Sombra","2017-09-02","2017-09-02"
"676","O que é o que é que, se me bater com força posso até rachar, mas você nunca poderá me impedir de devolver seu olhar?","Espelho.","2017-09-02","2017-09-02"
"677","4 + 4 + 4 equivale a 12. Qual é a outra soma de três números iguais que também resulta em 12?","11 + 1","2017-09-02","2017-09-02"
"678","Qual a diferença entre o poste e o picolé?","Dê uma lambida que você descobre.","2017-09-02","2017-09-02"
"679","O que é, o que é, quando se joga pra cima é verde, quando cai é vermelho?","A melancia.","2017-09-02","2017-09-02"
"680","O que é o que é, lindo sobrado com altas janelas, se abre e se fecha sem ninguém tocar nelas?","Os olhos.","2017-09-02","2017-09-02"
"681","Qual é o cúmulo da burrice?","Dois carecas brigando por um pente.","2017-09-02","2017-09-02"
"682","Qual é o cúmulo da rapidez?","Trancar a gaveta com a chave dentro.","2017-09-02","2017-09-02"
"683","Qual é o cúmulo da preguiça?","Pergunta amanhã...","2017-09-02","2017-09-02"
"684","Qual é a diferença entre o Natal e o Ano Novo?","7 dias.","2017-09-02","2017-09-02"
"685","O que é, o que é, tem no meio da lampada?","A letra P.","2017-09-02","2017-09-02"
"686","Um réu foi condenado a prisão, chegando na cela encontrou um pote de flores. Qual o nome do filme?","Réu e pote.","2017-09-02","2017-09-02"
"687","Qual é a diferença do Papai Noel e o comércio","O Papai Noel enche o saco e o comércio enche o bolso.","2017-09-02","2017-09-02"
"688","Qual é o filme preferido do sapo?","Os três mosquiteiros.","2017-09-02","2017-09-02"
"689","O que é, o que é, quando me tem, sou difícil de se guardar. Quando fala sobre mim, deixo de existir?","O segredo.","2017-09-02","2017-09-02"
"690","Um prédio se chama Brasil e cada andar é um estado. Como se chama o elevador?","Apertando o botão.","2017-09-02","2017-09-02"
"691","Qual é o cúmulo de ser baixinho?","Ter que subir na escada para amarrar os sapatos.","2017-09-02","2017-09-02"
"692","O que é, o que é, se vem da cobra pode matar, se vem do navio, pode salvar?","O bote.","2017-09-02","2017-09-02"
"693","O que é, o que é, que tem 4 pernas, mas não anda e tem 2 braços, mas não abraça?","A cadeira.","2017-09-02","2017-09-02"
"694","Qual é o cúmulo do regime?","Beber caldo de cana com adoçante.","2017-09-02","2017-09-02"
"695","Qual o cúmulo da magreza?","Tomar banho de braço aberto, para não descer pelo ralo.","2017-09-02","2017-09-02"
"696","Qual é a tecla preferida do astronauta?","O espaço.","2017-09-02","2017-09-02"
"697","Qual a cantora famosa que não cuida dos seus animais?","A Mádonna.","2017-09-02","2017-09-02"
"698","Como dividir 5 ovos pra 3 pessoas, para que cada uma das pessoas fique com 3 ovos cada?","1 ovo pra cada homem e 3 para a mulher.","2017-09-02","2017-09-02"
"699","O que vem no fim do infinito?","A letra ""O"".","2017-09-02","2017-09-02"
"700","O que é, o que é, tem mais ou menos um palmo, tem um buraco na ponta e um poco de cabelo no pé, quem tem usa, quem não tem usa o dedo.","Escova de dentes.","2017-09-02","2017-09-02"
"701","O que é, o que é, é clara e salgada, cabe em um olho e pesa uma tonelada?","A lágrima.","2017-09-02","2017-09-02"
"702","Qual a diferença entre o rico e o pobre?","Rico come caviar e pobre como o que vier.","2017-09-02","2017-09-02"
"703","Um cachorro estava procurando emprego,depois de muito tempo de procura ele conseguiu trabalhar como pedreiro. Qual o nome do filme?","O cão peão.","2017-09-02","2017-09-02"
"704","O que é, o que é, que pesa mais no mundo?","A balança.","2017-09-02","2017-09-02"
"705","Em aquário tinha 10 peixes, mas 5 morreram afogados. Quantos peixes sobraram?","10. Peixe não afoga.","2017-09-02","2017-09-02"
"706","O que é, o que é, que tem no meio do coração?","A letra A.","2017-09-02","2017-09-02"
"707","O que é, o que é, que tem no meio do gol?","A letra O.","2017-09-02","2017-09-02"
"708","Por que o chinelo é um amigo fiel?","Porque ele está sempre ao seus pé.","2017-09-02","2017-09-02"
"709","Um cowboy vai ao vilarejo com sua égua na sexta-feira, fica 3 dias e vai embora na sexta-feira. Como ele fez isso?","O nome da égua é sexta-feira.","2017-09-02","2017-09-02"
"710","Qual é o instrumento que não pode ser visto, não pode ser tocado, mas pode ser ouvido?","A voz.","2017-09-02","2017-09-02"
"711","O que é, o que é, que na água não se afoga, no fogo não se queima e o vento não leva?","O sol.","2017-09-02","2017-09-02"
"712","O que é, o que é, que tem 4 patas e 1 braço?","Um pitbull feliz.","2017-09-02","2017-09-02"
"713","Por que a loja de canivete faliu?","Porque só vendia afiado.","2017-09-02","2017-09-02"
