;charada
425;O que é varinha de condão e ao tocar numa caixinha faz luz na escuridão? O palito de fósforo.
426;Um menino perdeu um pé em uma armadilha de urso. Após levá-lo ao hospital a família, pensando na possibilidade de reimplante, voltou ao local para procurar o pé. Qual o nome do filme? A Família Busca Pé.
427;Qual o doce preferido do Freddy Krueger? Sonho.
428;Se um astronauta matar outro astronauta na Lua, ele pode ser preso? Não, porque é um crime com pouca gravidade.
429;O que você sabe que nunca vai achar? O que você nunca perdeu.
430;O que tem 4 patas e voa? Um casal de passarinhos.
431;O que atravessa o rio e não se molha? A ponte.
432;O que todo mundo precisa, todo mundo pede, todo mundo dá, mas ninguém segue? Conselho.
433;O que tem pescoço mas não tem cabeça? Garrafa.
434;O que é que o padre tem uma, o papa tem duas e Jesus nenhuma? A letra P.
435;Por que ninguém foi ao enterro do elefante? Todos tinham medo de ter que carregar o caixão.
436;O que só cresce para trás? A fila.
437;Qual a diferença entre um elefante e uma pulga? O elefante pode ter pulgas, mas a pulga não pode ter elefantes.
438;O que não tem olhos, mas pisca, comanda, mas não tem boca? O semáfaro.
439;Quem tem o poder de parar um carro com uma só mão? O guarda de trânsito.
440;Qual é o animal mais forte da natureza? O caracol, pois ele carrega a sua casa nas costas.
441;O que é que são luzes mas não tem fios, são quietas e agitadas, se dorme durante o dia, a noite passam acordadas? Estrelas.
442;O que o trator tem de comum com o parque de diversão? A roda gigante.
443;O que é que sempre acaba com o dia quando chega? A noite.
444;O que é um pé disse para o outro? Vai na frente que eu te sigo.
445;O que é que nunca volta, embora nunca tenha ido? Passado.
446;Faustão e o Jô Soares foram morar juntos em uma casa de dois andares. Qual o nome do filme? Um Dia a Casa Cai.
447;O que a garrafa disse para a água? Já estou cheio de você!
448;O que vale mais que um ouro, não custa nenhum centavo, é fácil de achar e difícil de perder? Um amigo.
449;O que todos têm dois, você tem um e eu nenhum? A letra O.
450;O que o chinelo disse pra barata? Ai se eu te pego, ai ai se eu te pego.
451;O que a barata disse pro chinelo? Nossa, nossa, assim você me mata.
452;Como é que se chama bicicleta em japonês? Kuasimoto.
453;5 sapos estavam na ponte e 3 pensaram em pular na água. Quantos sapos restaram na ponte? 5, porque eles só pensaram em pular, mas não pularam.
454;Por que o porco foi expulso do jogo futebol? Porque ele jogava sujo.
455;O que um fio elétrico disse para outro? Somos intocáveis.
456;"Quem foi a primeira pessoa a dizer que ""os homens são todos iguais""? Uma chinesa que perdeu sua marido na multidão."
457;Qual é a melhor maneira de machucar alguém com palavras? Batendo nela com um dicionário.
458;O que é que tem mais de mil caras, mas só pode lhe mostrar uma? Espelho.
459;O que é o que é, nasce no monte, morre no mar e jamais volta para o seu lugar? Rio.
460;Qual é a galinha que cai e fica doida? Galinha cai-pira.
461;O que é o que é nenhum homem tem na carteira? Foto da sogra.
462;O que o pintinho gay disse quando nasceu? Choquei!
463;O que é que nasce no campo, cria em verdes laços, chora por ela quem faz ela em pedaços? Cebola.
464;Por que a vaca não vai na academia? Porque ela já é malhada.
465;Qual o instrumento musical mais odiado pelos anões? Contrabaixo.
466;Onde D. Pedro II foi coroado? Na cabeça.
467;O que dorme de cabeça para baixo? A vassoura.
468;O que acabou em 1896? 1895.
469;O que você só dá para quem tem? Razão.
470;Onde o boi foi comprar perfume? Na O Boi-ticário.
471;Entre dois carecas, qual é o mais careca? O que tiver a maior cabeça.
472;Se um trem elétrico for de Catanduva até São Paulo, a fumaça vai para frente ou para trás? Trem elétrico não solta fumaça.
473;Quantos animais Moisés levou na arca? Nenhum, porque foi Noé que fez a arca.
474;O boi saiu para beber. Onde ele foi? No boitéco.
475;O que a panela falou para a pipoca? A minha bunda que queima e você que pula?
476;Como se chama o estado em que a água se evapora rápido? São Paulo.
477;Por que o time de basquete chamou o sapo para jogar? Porque ele acerta na mosca.
478;Qual é o tempero mais raivoso? O sal grosso.
479;Qual é o pássaro que assombra? Uru-buuuuuuu!
480;Qual é o mês do semáforo? Abril.
481;Quando é que o cachorro fica desconfiado? Quando ele está com a pulga atrás da orelha.
482;Por que devemos enterrar a sogra 10 metros para baixo do normal? Porque no fundo, no fundo... a sogra é uma pessoa boa.
483;Por que o peixe nunca acerta o gol? Porque ele tem medo da rede.
484;O que cortamos na cozinha e choramos? O dedo.
485;O que é um pontinho preto no canto da sala? Uma formiga de castigo.
486;Um menino estava dormindo e a campainha tocou, eram seus pais que queriam tomar café. Ele pegou na geladeira a manteiga e a geleia. O que ele tem que abrir primeiro? Os olhos.
487;Qual é a árvore que ajuda as outras? O mamoeiro, porque ele sempre dá uma-mão.
488;"Por que o marujo não grita mais ""terra à vista""? Porque do jeito que a economia está, tem que ser a prazo mesmo."
489;O que é que quando novo é duro, quando esfregam diminui? Sabonete.
490;Qual é a roupa que o homem pensa quando vê a sogra em cima do muro? Tomara que caia.
491;Qual é a maior ave que voa? Ave-ão.
492;Qual é o chá que refresca a cabeça? O chá-péu.
493;De que lado fica a alça da xícara? Do lado de fora.
494;Qual é a melhor coisa que você pode colocar no pastel? Os dentes.
495;Os patos disputaram uma partida de futebol. Como acabou o jogo? Empatado.
496;Qual é a cantora que cuida mal de seus cachorros? A Má-dona.
497;Por que o filho do bombeiro não pode ir para a aula de educação física? Porque iam brincar de queimada.
498;Qual é o jogo que as árvores odeiam? Queimada.
499;Por que o pirata só assistiu a metade do filme? Porque estava com o tapa-olho.
500;Por que a macarrão foi convidado para a festa e a batata não? Porque o macarrão é massa e a batata é palha.
501;O que faz um homem virar a cabeça? O pescoço.
502;Qual era a comida predileta dos faraós? Faraófa.
503;O que acontece com o leite da vaca depois de um terremoto? Vira milk-shake.
504;O que é necessário para fechar uma porta? Que ela esteja aberta.
505;O pai de Pedro tinha 5 filhos: Pata, Peta, Pita e Pota. Qual o nome do outro filho? Pedro.
506;"Como se fala ""cobrador de ônibus"" em japonês? Tanaka Traka."
507;Qual é o nome do animal mais patriota do mundo? Tamanduá-bandeira.
508;Qual o instrumento musical que está sempre ligado? AcordeON.
509;O que a areia falou para o mar? Deixa de onda!
510;Qual é o santo que protege os gordinhos? O São Duíche.
511;O que tem bico mas não bica, tem asa mas não voa e tem perna mas não anda? Uma ave morta.
512;Um garoto chama o outro e lhe dá uma nota de vinte reais. Qual o nome do menino? Leonardo Dávinte.
513;Qual é a religião dos bodes? Bodismo.
514;Por que o gato é bom no videogame? Porque ele tem 7 vidas.
515;O que é o que é, tem o pai cantor, a mãe desdentada e o filho amarelo? Galinha.
516;Quais são as partículas que não gostam de estudar? As partículas de antimatéria.
517;O que é um pontinho azul no canil? Um Pit Blue.
518;Quem nasceu da minha mãe, mas não sou eu nem meu irmão? Minha irmã.
519;Qual o animal que vive ajudando os outros? O macaco, porque ele quebra galho.
520;O que o lápis disse para o papel? Você está me desapontando.
521;Qual é o cachorro que não late? O cachorro quente.
522;Qual é o mês que está pronto para nadar? Maiô.
523;Por que a galinha bate a cabeça no chão? Porque ela quer arrumar um galo.
524;Qual a cor do cavalo branco de Napoleão? Preto, Branco é apenas o nome do cavalo.
525;Qual o nome dos animais que comem de tudo? Ricos.
526;Qual é o animal cuja espécie, o macho tem duas fêmeas? O pato, porque ele tem duas patas.
527;Qual o nome do chinês que sofreu um corte no dedo? Xai Xangue.
528;Qual é o sabão em pó preferido das sereias? Ariel.
529;O que há no inicio do mês, no meio da semana, mas nunca no dia? A letra m.
530;Qual a semelhança entre a banda de rock, o celular, o carro, e a escola de samba? Bateria.
531;O que o sabão em pó falou para o desinfetante? Eu te omo.
532;O que anda mas não tem pé, assobia mas não tem boca? Vento.
533;Por que o cachorro balança o rabo? Porque o rabo não consegue balançar o cachorro.
534;O que é que tem 4 pés e 4 asas? Duas galinhas.
535;Um assassino tinha um cachorro, mas certo dia seu cachorro morreu. Qual o nome do filme? Mato Sem Cachorro.
536;Quantos anões cantavam na história da Branca de Neve? Seis, porque o Dunga era mudo.
537;O que tem corrente mas não é bicicleta, tem rosca mas não é parafuso? Lâmpada.
538;O que a TV disse para a tomada? Tô ligada em você.
539;Em um arquipélago tem 3 ilhas, cada ilha tem 3 palmares, se três palmeiras dão três cocos, qual o número total de cocos? Zero, pois palmeiras não dão cocos.
540;O que é bem redondinha, tem a beira pregueada, por fora fica sequinha, por dentro fica molhada? Tampinha de garrafa.
541;O que o Luan tem na frente, o Michel tem atrás, a solteira ainda tem e a casada não tem mais? A letra L.
542;O que é o que é, tenho uma grande memória, porém eu não sei pensar, alguns me usam para lazer e outros para estudar? Computador.
543;O que uma galáxia disse para a outra? Preciso de espaço.
544;Um homem é tarado por animais domésticos. Qual o nome do filme? Como Cães e Gatos.
545;Qual animal é um refrigerante? Kuati.
546;Quantas pessoas são necessárias para destruir o Brasil? Di uma.
547;Um homem acidentalmente sentou em cima de um cachorro branco com pintas pretas. Qual é o nome do filme? Sento Em Um Dálmata.
548;Quais as duas bolas que todo mundo tem? A bola dos olhos.
549;O que o peixe disse para a peixa? Estou apeixonado!
550;O que o psicólogo disse ao Super Mario ? Relaxa, é so uma fase.
551;O que você tem e eu não tenho? Acento.
552;O que é que o primeiro já morreu, o segundo ainda vive e o terceiro nem nasceu? O passado, presente e futuro.
553;O que vive batendo na gente mas é bom para a saúde? O coração.
554;O que nasce preto, cresce branco e no final vira cinza? Michael Jackson.
555;O que a múmia disse para a outra múmia que estava cheia de problemas? Você está toda enrolada!
556;Qual é o país que tem duas sílabas e uma delas é de comer? Japão.
557;O que a cocaína disse pra Ivete Sangalo? Como se eu fosse flor, você me cheira!
558;O que começa com B, termina com A, e todo homem gosta? A beleza.
559;O que é minha, eu te dou, e ainda continua sendo minha? Minha fotografia.
560;O que o cigarro falou pro homem? Hoje você me acende, amanhã eu te apago.
561;O que o galo foi fazer no açougue? Ver a galinha pelada.
562;Qual é o animal mais chique do mundo? O porco, porque ele vive em um chiqueiro.
563;O que a zebra macho disse pra zebra fêmea quando descobriu que ela estava grávida? Eita, deu zebra!
564;O que o pneu disse para o asfalto? Você vai acabar me deixando careca.
565;O que o carrapato tem maior que o boi? O nome.
566;Qual é a coisa mais rápida do mundo? A caganeira, pois não dá tempo nem de descer as calças.
567;Qual o peixe que sempre tem uma arma? Peixe-espada.
568;Onde o domingo vem antes do sábado? No dicionário.
569;O que é o que é, são quatro irmãos que correm, correm, correm, mas não conseguem alcançar um ao outro? Os pneus.
570;Por que os fofoqueiros gostam de axé? Porque eles adoram um Babado Novo.
571;O que tem no carro e na música? Ré.
572;Um fanho e gago foi dar uma palestra. Qual o nome do filme? Missão Impossível.
573;Qual o brinquedo favorito do Batman no parque de diversões? O carrinho de bat-bat.
574;Minha vizinha tinha uma cachorra chamada Dinha. A cachorra morreu atropelada. O que minha vizinha fez ao vê-la? Chorava pela Dinha.
575;Gretchen foi aprender a lutar com o Anderson Silva. Qual o nome do filme? Como Treinar o Seu Dragão.
576;O que é um pontinho preto no jornal? Uma formiga procurando emprego.
577;"O que o ""c"" disse para o ""ç""? Cagando aí, né?"
578;O que passa todo dia na sua frente mas você não vê? O vento.
579;O que é que ele morre queimado e ela morre cantando? O cigarro e a cigarra.
580;O que é o que é, duro, cabeludo e entra por um buraco? Escova de dente.
581;Foram pescar 2 pais e 2 filhos, cada um pegou 1 peixe, e no total deu 3 peixes. Como isso é possível? Foram pescar o avô, o pai e o filho.
582;O que é o que é que tem 172 pernas mas só anda se empurrar? A vassoura.
583;Qual o dia que a plantinha não entra no hospital? No dia do plantão.
584;O que é o que é, tem 4 pernas, 4 bocas e cospe fogo? O fogão.
585;O que acontece quando uma pedra amarela cai em um rio vermelho? Ela afunda.
586;O que é que você ri pra ganhar e sofre para perder? O peso.
587;O que todas as pessoas tiram quando vão pra cama? Os pés do chão.
588;Por que o prego é bem educado? Porque ele nunca entra sem bater.
589;Por que o pênis é o primeiro órgão do corpo a se aposentar? Porque o trabalho dele é foda.
590;O que a frigideira disse para o ovo? Eu vou te fritar, mas não gema.
591;Qual o bairro de São Paulo que é frequentado pelos tatus que não tem carro? Tatuapé.
592;O que é o que é, você não vive sem, mas ela não esta nem aí para você? A água.
593;O que é o que é, que está do lado do mundo? O ponto de interrogação.
594;Qual é o desastre natural que os cães mais odeiam? Fura-cão.
595;Em quanto tempo se prepara um Miojo? 2 gols da Alemanha.
596;Qual é a cor do S da Perdigão? Perdigão não tem S.
597;Qual o casal de animais Noé não levou em sua arca? Cupins.
598;Dois homens foram detidos suspeitos de terem cometido um crime, mas não se sabia qual deles era o culpado. Após alguns dias, um deles engordou bastante e foi liberado. Por quê? Porque o que não mata, engorda.
599;O que acontece quando você esfrega uma lâmpada debaixo d'água? Aparece um Hidrogênio.
600;Uma baleia atira em outra, qual o nome do filme? Baleia baleia baleia.
601;O que é o que é, faz saltos enorme mas nunca participou de uma Olimpíada? O sapateiro.
602;O que mais cheira na cozinha? O nariz.
603;O que é o que é, dá leite mas não é vaca? O leiteiro.
604;O que é o que é, cai em pé e corre deitado? Um paraquedista na guerra.
605;O que um jogador de futebol faz quando acha que o goleiro é professor de português? Gol de letra.
606;A mãe de Maria tinha 5 filhas: Ra, Re, Ri, Ro. Qual o nome da quinta filha? Maria.
607;Por que o marido da viúva não pode se casar com a cunhada? Porque ele morreu.
608;O que é que está acima do céu? Acento agudo.
609;Qual é a festa que dizem que é sua mas nunca te convidam? Fim de ano na Globo.
610;O que acontece com um pneu após passar por uma pista molhada e fria? Pega pneumonia.
611;O que é o que é, que todos têm 2, você tem 1 e eu não tenho nenhum? A letra O.
612;Um cachorro passou em um cinema e viu pedras, areia e tijolos. Qual é o nome do filme? Nenhum, o cinema estava em obras.
613;Se você me tiver vai querer me dividir, se me dividir, deixarei de existir. O que sou? Segredo.
614;O engenheiro olhou para espelho. O que aconteceu? O engenheiro civil.
615;O que é que sempre está acima de nós? O acento agudo.
616;O que é que sempre está vindo mas nunca chega? O amanhã.
617;Quando é que um jogador de futebol trata o adversário como criança? Quando dá um carrinho.
618;O que é que não se quebra com uma pedra, mas se quebra com um ovo? Jejum.
619;Como é que o louco colhe manga? Ele sobe no pé de manga, aperta a manga pra ver se ela está madura, desce e joga pedra até derrubar.
620;Qual o próximo número na sequência: 2, 10, 12, 16, 17, 18, 19, ...? 200. Todos os números começam com a letra D.
621;O que é que o açúcar disse para o café? Neguinho, é por você que eu me derreto.
622;O que é o que é, tem rabo de porco, tem corpo de porco, tem orelha de porco, tem perna de porco, mas não é porco? A porca.
623;O que é o que é, amarelo por fora branco por dentro cabelo na berada e o talo dentro? Maracujá.
624;Por que a comida foi presa? Porque matou a fome.
625;O que é que falta na casa para formar um casal? A letra L.
626;O que é o que é, se compra para comer, mas não se come? O prato.
627;Eu estava levando 10 vacas para o pasto, mas uma morreu. Quantas ficaram? Só uma. A que morreu ficou por lá mesmo.
628;O que é o que é, cru não existe e assado não se come? Carvão.
629;O que é o que é, o duro furou o mole, o mole ficou furado e o duro ficou pendurado? Brinco.
630;O que é o que é, que sobe quando a água desce? Guarda-chuva.
631;O que se pode tirar, mas nunca devolver? Uma soneca.
632;Por que a professora entrou na sala de aula usando óculos de sol? Porque os alunos eram brilhantes.
633;Qual raça de cachorro pode pular mais alto que um prédio? Qualquer uma, pois prédios não pulam.
634;O que é que tem cabelo mas não pentea, tem dente mas não mastiga, e tem pé mas não anda? O milho.
635;O que é o que é, no mar tem 1, na Terra tem 2, mas no mundo não tem nenhum? A letra R.
636;O que é que a televisão foi fazer no dentista? Tratamento de canal.
637;Como seria o mundo se não existisse o Google? Sei lá, pesquisa aí no Google...
638;O que é o que é que faz chorar mas não é cebola e você mata mas não tem vida? Saudade.
639;Tem 5 passarinhos na árvore, mas você atira em um. Quantos sobram? Nenhum pois os outros 4 saem voando.
640;Qual o principal motivo dos erros? As provas.
641;Qual a principal razão do divórcio? O casamento.
642;Onde foi assinado o Tratado de Tordesilhas? No final da folha.
643;Qual é o chiclete favorito de Poseidon? Trident.
644;Em uma igreja haviam 5 velas. Entraram 3 ladrões e cada um levou uma. Quantas velas ficaram? 8 velas. Porque eles levaram, e não roubaram.
645;Para onde vão os homens-bomba depois da morte? Para todos os lados.
646;Qual é o tipo de conexão dos gordos? Banda larga.
647;Qual é a palavra que tem apenas 3 letras, mas acaba com tudo? Fim.
648;O que é, o que é, que é preto... branco... preto... branco... preto...? Um pinguim rolando.
649;Como é que se pesca peixe pela internet? Com a rede.
650;O que é, o que é, que tem cara de macaco, rabo de macaco e não é macaco? A macaca.
651;O que é, o que é, que corre mas não anda? Água.
652;Eu estava escovando os dentes e a tampinha caiu no ralo. Adivinha o que saiu do chuveiro quando fui tomar banho? Água.
653;Qual remédio que avisa quando você esta mal? Paracetamol.
654;Uma pessoa me amar pela minha beleza e pelo meu dinheiro. Qual o nome do filme? Missão Impossível.
655;O que é, o que é, sempre aumenta e nunca diminui? A idade.
656;O que é, o que é, quando se tira o R, fica leve como uma pena? A perna.
657;O que é, o que é, que voa mas não bate as asas? O avião.
658;O que é, o que é, bem pertinho do céu em casa mora trancada, que chova ou faça sol ela vive sozinha e molhada? A língua.
659;Quantos neoliberais é preciso para trocar uma lâmpada? Nenhum. Se a lâmpada precisa ser trocada o mercado fará isto por si próprio.
660;Quantos estudantes de doutorado é preciso para trocar uma lâmpada? Estou escrevendo minha tese neste assunto. Deverei ter uma resposta para esta  questão daqui a 5 anos.
661;Quando você sabe que uma professora de matemática virou funkeira? Quando ela chama o polígono regular de oito lados de quadradinho de oito.
662;O que é que nos penetra com uma ponta desproporcionalmente grande, e quando vem no escurinho até arranca sangue? A picada do mosquito.
663;O que é que geralmente tem um tom avermelhado, os homens gosta de socar com força, mas não grita de dor? O saco de boxe.
664;Qual é o nome do filme preferido do Inri Cristo? Ó Paí, Ó.
665;Dois frangos estavam voando, mas um deles caiu. Por que o outro continuou voando? Porque ele era um frango à passarinho.
666;O que é o que é? A gente coloca na boca todo dia, mata a fome, mas a gente não come? Garfo.
667;O que é que é jogado pra cima prata e quando cai no chão vira ouro? Ovo.
668;O que o papel higiênico disse para o hambúrguer? Na saída a gente se encontra.
669;O que é, o que é? Quem está dentro nunca sai, quem está fora não quer entrar? Cemitério.
670;Por que o cachorro entrou na igreja? Porque ele era um Pastor Alemão.
671;O que é que tem o corpo comprido e a cabeça grande? O palito de fósforo.
672;Um chinês se alimentava de gatos e cachorros. Qual o nome do filme? Como Cães e Gatos.
673;Por que o gato levanta o rabo? Porque o rabo não consegue levantar o gato.
674;Eu estou sempre debaixo dos seus pés, posso ser visto ao sol do meio dia, você nunca pode fugir de mim. O que sou eu? Sombra
675;O que é o que é que, se me bater com força posso até rachar, mas você nunca poderá me impedir de devolver seu olhar? Espelho.
676;4 + 4 + 4 equivale a 12. Qual é a outra soma de três números iguais que também resulta em 12? 11 + 1
677;Qual a diferença entre o poste e o picolé? Dê uma lambida que você descobre.
678;O que é, o que é, quando se joga pra cima é verde, quando cai é vermelho? A melancia.
679;O que é o que é, lindo sobrado com altas janelas, se abre e se fecha sem ninguém tocar nelas? Os olhos.
680;Qual é o cúmulo da burrice? Dois carecas brigando por um pente.
681;Qual é o cúmulo da rapidez? Trancar a gaveta com a chave dentro.
682;Qual é o cúmulo da preguiça? Pergunta amanhã...
683;Qual é a diferença entre o Natal e o Ano Novo? 7 dias.
684;O que é, o que é, tem no meio da lampada? A letra P.
685;Um réu foi condenado a prisão, chegando na cela encontrou um pote de flores. Qual o nome do filme? Réu e pote.
686;Qual é a diferença do Papai Noel e o comércio O Papai Noel enche o saco e o comércio enche o bolso.
687;Qual é o filme preferido do sapo? Os três mosquiteiros.
688;O que é, o que é, quando me tem, sou difícil de se guardar. Quando fala sobre mim, deixo de existir? O segredo.
689;Um prédio se chama Brasil e cada andar é um estado. Como se chama o elevador? Apertando o botão.
690;Qual é o cúmulo de ser baixinho? Ter que subir na escada para amarrar os sapatos.
691;O que é, o que é, se vem da cobra pode matar, se vem do navio, pode salvar? O bote.
692;O que é, o que é, que tem 4 pernas, mas não anda e tem 2 braços, mas não abraça? A cadeira.
693;Qual é o cúmulo do regime? Beber caldo de cana com adoçante.
694;Qual o cúmulo da magreza? Tomar banho de braço aberto, para não descer pelo ralo.
695;Qual é a tecla preferida do astronauta? O espaço.
696;Qual a cantora famosa que não cuida dos seus animais? A Mádonna.
697;Como dividir 5 ovos pra 3 pessoas, para que cada uma das pessoas fique com 3 ovos cada? 1 ovo pra cada homem e 3 para a mulher.
698;"O que vem no fim do infinito? A letra ""O""."
699;O que é, o que é, tem mais ou menos um palmo, tem um buraco na ponta e um poco de cabelo no pé, quem tem usa, quem não tem usa o dedo. Escova de dentes.
700;O que é, o que é, é clara e salgada, cabe em um olho e pesa uma tonelada? A lágrima.
701;Qual a diferença entre o rico e o pobre? Rico come caviar e pobre como o que vier.
702;Um cachorro estava procurando emprego,depois de muito tempo de procura ele conseguiu trabalhar como pedreiro. Qual o nome do filme? O cão peão.
703;O que é, o que é, que pesa mais no mundo? A balança.
704;Em aquário tinha 10 peixes, mas 5 morreram afogados. Quantos peixes sobraram? 10. Peixe não afoga.
705;O que é, o que é, que tem no meio do coração? A letra A.
706;O que é, o que é, que tem no meio do gol? A letra O.
707;Por que o chinelo é um amigo fiel? Porque ele está sempre ao seus pé.
708;Um cowboy vai ao vilarejo com sua égua na sexta-feira, fica 3 dias e vai embora na sexta-feira. Como ele fez isso? O nome da égua é sexta-feira.
709;Qual é o instrumento que não pode ser visto, não pode ser tocado, mas pode ser ouvido? A voz.
710;O que é, o que é, que na água não se afoga, no fogo não se queima e o vento não leva? O sol.
711;O que é, o que é, que tem 4 patas e 1 braço? Um pitbull feliz.
712;Por que a loja de canivete faliu? Porque só vendia afiado.
713;O que é, o que é, que tem sempre na frente da igreja? A letra I.
714;Qual tira fez parte da história do Brasil? Tiradentes.
715;Duas pulgas foram passear, o que uma disse para outra? Vamos a pé ou vamos pegar um cachorro?
716;Por que uma conversa entre galinhas nunca acaba? Porque elas tem papo.
717;Qual é o cúmulo da burrice? Contar os degraus da escada rolante.
718;O que aconteceu com as bailarinas na aula de balé? Elas foram baleadas.
719;Como se chama a galinha que pulou de um prédio e ficou louca? Galinha cai-pira.
720;O que é, o que é, que se encontra no meio do purgatório? A letra A.
721;Tinha um velhinho no bairro em que moro que era gay. Qual é o nome do filme? O Senhor dá o Anel.
722;O que é, o que é, que sempre cai, mas não levanta? A folha.
723;O que é, o que é, quanto mais a gente ouve, mais ela se acaba? A paciência.
724;O que é, o que é, que tem dentes, mas não morde? O alho.
725;O que é, o que é, você sabe de onde eu venho, sabe pra onde eu vou, sabe meu nome, mas não sabe a minha cor? O vento.
726;O que é, o que é, de dia tem quatro pés e de noite tem seis? Uma cama de solteiro.
727;O que é, o que é, um animal que anda com a pata na cabeça? Um pato apaixonado.
728;O Professor pediu para um Espírita fazer exercícios sobre fantasmas no submundo. Qual o nome do filme? Atividade Paranormal.
729;O que é, o que é, que tem que ser lambido para enfiar no buraco mais facilmente? A linha da agulha.
730;O que um botijão de gás disse pro outro? Vamos vazar.
731;O que é, o que é, cintura longa, perna alongada, toca corneta e leva bofetada? O pernilongo.
732;O que é, o que é, que tem sobre a mão e o coração? O til.
733;O que é, o que é, é filho do seu pai e da sua mãe, mas não é seu irmão? Você.
734;O que a coruja tem, que os outros bichos não tem? Corujinhas.
735;O que é, o que é, que não tem cabelo mas fica careca? O pneu.
736;Uma mãe se fantasiou de quebra-cabeça. Qual é o nome do filme? Minha mãe é uma peça.
737;Qual é a montanha que tem rodas? A montanha russa.
738;Quantos graus tem uma onça morta? 360 graus, porque ela é uma ex-fera.
739;O que o alienígena foi fazer em São Paulo? Foi visitar o Tioetê.
740;O que é vermelho e faz mal para os dentes? Tijolo.
741;Qual é a parte do corpo que mais coça? A unha.
742;Qual a semelhança entre 99 reais e um Japonês? Os dois são quase cem pau.
743;O que é que o Ken coloca na comida? Molho Barbiecue.
744;O que é, o que é, a única pedra que fica em cima da água? A pedra de gelo.
745;O que é, o que é, nem toda casa tem, mas ninguém passa sem ele? Ferro da passar roupas.
746;O que o palito de fósforo disse para o fósforo? Por sua causa eu perdi a cabeça.
747;O que tem no meio do ovo? A letra V.
748;O que é, o que é, tem olhos mas não vê, tem boca mas não fala e tem perna mas não anda? A estátua.
749;Qual é a peça do carro que é fabricada no Egito ? Os faróis.
750;O que é, o que é, um pontinho vermelho no meio do oceano? Um redmoinho.
751;O que a calculadora disse para o contador? Pode contar comigo.
752;Qual a cidade mas alegre do Brasil? Porto Alegre.
753;O que é, o que é, é feito para andar, mas não anda? A rua.
754;O que é, o que é, que é surdo e mudo, mas conta tudo? O livro.
755;O que é, o que é, na cidade é uma profissão, na estrada é um perigo e na mata um inseto? O barbeiro.
756;Por que o deficiente físico foi demitido do emprego? Porque estava dando mancada.
757;"Por que o louco só usa roupa molhada ? Porque na etiqueta vem escrito ""Lave antes de usar""."
758;O que tem no final do túnel? A letra L.
759;Em qual lugar o sucesso vem antes do trabalho? No dicionário.
760;Qual operadora de celular vive gripada? A Timmmmmmmmmmm.
761;Por que a loja pegou fogo? Porque era queima de estoque.
762;O que é, o que é, que tem letras, pontos e alguns podem ter números? Os livros.
763;O que são 5 pontinhos azuis em cima do palco? Uma banda de blues.
764;Qual o resultado do cruzamento da girafa com o carro? Um alto-móvel.
765;Por que quem vive no Brasil não pode mais legalmente ser enterrado? Porque costuma-se enterrar os mortos.
766;Qual a diferença entre uma pizza e uma puta? É que a pizza só dá pra 8, a puta consegue dar pra todo mundo.
767;Qual é o carro que todo mundo consegue dirigir? O carrinho de mão.
768;O que é um astrólogo andando à cavalo? Um cavaleiro do Zodíaco.
769;Qual é o cúmulo da rebeldia? Fugir de casa quando se mora sozinho.
770;Qual o cúmulo da velocidade? Cagar de cima de uma árvore, descer e ver a merda caindo.
771;Por que o elefante não pega fogo? Porque ele já é cinza.
772;O que é, o que é, que dá um pulo e se veste de padre? Pipoca queimada.
773;O que é, o que é, todo mundo tem, é vermelho e sempre está debaixo do céu? A língua.
774;O que é que morre de pé? A vela.
775;Por que o cachorro saiu da igreja? Porque ele tinha entrado.
776;O que é, o que é, que está sempre à nossa frente, mas nunca enxergamos? O futuro.
777;O que é, o que é, no mato está batendo e em casa está calado? O machado.
778;O que a vaca disse pro boi? Tá friboi?
779;O que é, o que é, tem dois pés, mas não tem dedos? A meia.
780;Qual é o  rei dos queijos? Reiqueijão.
781;O que é verde mais não é folha, é branco mais não é algodão, é vermelho mais não é sangue, é preto mais não é carvão? A melancia.
782;O que é piranha mas não é peixe, é vaca mas não muge? As tuas amiguinhas.
783;Qual é o remédio do Ayrton Senna? O Buscopan pam pam pam pam pam...
784;O que é que pega pelo corpo, escuta pela cara e fala pelo pé? Telefone.
785;Quando uma pessoa nasce no Brasil, vive nos Estados Unidos e morre no Japão, o que ela é? Defunto.
786;Qual é a semelhança entre um bêbado e o neném? Os dois mamam, depois dormem, mijam e cagam nas calças.
787;Como se faz para evitar filhos durante uma relação sexual? Feche a porta do quarto.
788;O que é, o que é, se pega pelo pau e a saia levanta? O guarda-chuva.
789;O que o tomate falou para a banana? Nada, tomate não fala.
790;O que é, o que é. Uma casinha branca, sem porta, sem tranca? O ovo.
791;Quem é o avô do carro? O vô-lante.
792;Qual é o peixe mais salgado do mundo? O salmão.
793;Qual é a diferença do dente de leite e o Palmeiras? O dente de leite só cai uma vez!
794;Qual é o único lugar que nunca bate sol? Na sombra.
795;Qual é o céu que não tem estrelas? O céu da boca.
796;O que é o que é, tem que matar para viver? A fome.
797;O que é, o que é. Tem pé, mas não tem cabeça? A mula sem cabeça.
798;O que é  o que é. É cheio de buraco mas segura a água? A esponja.
799;O que é que é, corta mas não se come? O prato.
800;Prenderam minha sogra, qual o nome do filme? Gaiola das loucas.
801;Por que Joãozinho escovava os dentes antes de ir a escola? Porque ele tinha prova oral.
802;O que é, o que é. Todo mês tem, menos abril? A letra O.
